num,titulo_empleo,descripcion_empleo,etiquetas_empleo
0,Senior Software Developer - Urgent HireSenior Software Developer - Urgent Hire,We are hiring a motivated Senior Software Developer to join our amazing team at airG in Ecuador. Growing your career as a Full Time...,AirgAirg
1,BACKEND DEVELOPER .NET - .NETCOREBACKEND DEVELOPER .NET - .NETCORE,"COMPETENCIAS ESPECÍFICAS DE .NET: ADO.NET, ASP.NET, .NET WEB SERVICES, NETCORE, .NET REMOTING Manejo de herramientas para la gestión de...",Banco PichinchaBanco Pichincha
2,Software Development Engineer - Start ImmediatelySoftware Development Engineer - Start Immediately,Growing your career as a Full Time Software Development Engineer is an amazing opportunity to develop competitive skills. If you are...,Sicpa Holding SaSicpa Holding Sa
3,Work From Home Software QA Specialist Research Development Ref. 0027E RD - Urgent HiringWork From Home Software QA Specialist Research Development Ref. 0027E RD - Urgent Hiring,We are looking for an ambitious Work From Home Software QA Specialist Research Development Ref. 0027E RD to join our incredible team at...,Bairesdev SaBairesdev Sa
4,Software QA Engineer to join a SaaS company from USA ... - Urgent HiringSoftware QA Engineer to join a SaaS company from USA ... - Urgent Hiring,"As a QA Engineer , you will create tests to identify issues to ensure the quality and integrity of all software products produced for...",Prometeo TalentPrometeo Talent
5,FrontEnd WordPress Developer (experienced with... - Fast HireFrontEnd WordPress Developer (experienced with... - Fast Hire,Growing your career as a Full Time FrontEnd WordPress Developer (experienced with... is a great opportunity to develop relevant...,Prometeo TalentPrometeo Talent
6,Remote Senior JS Developer with Devops ExperienceRemote Senior JS Developer with Devops Experience,Scopic is seeking a Senior JS Developer with DevOps and PHP experience to join our team of 250+ professionals across 50 countries. The...,""
7,FullStack Python Developer REMOTE opportunity for a... - Start ImmediatelyFullStack Python Developer REMOTE opportunity for a... - Start Immediately,We are searching for a driven FullStack Python Developer REMOTE opportunity for a... to join our dynamic team at Prometeo Talent in...,Prometeo TalentPrometeo Talent
8,Remote Full-stack PHP DeveloperRemote Full-stack PHP Developer,Are you on the hunt for exciting new challenges that boost your professional growth? If you’re a Full-stack PHP Developer with extensive...,""
9,Remote JS/TS Developer with Devops ExperienceRemote JS/TS Developer with Devops Experience,Scopic is seeking a JS/TS Developer with DevOps and PHP experience to join our team of 250+ professionals across 50 countries. The...,""
10,Python DeveloperPython Developer,Turing is leading the Talent Cloud category with the world’s largest pool of vetted developers. The company’s Intelligent Talent Cloud...,TuringTuring
11,Python DeveloperPython Developer,Our client is leading the Talent Cloud category with the world’s largest pool of vetted developers. The company’s Intelligent Talent...,SnaphuntSnaphunt
12,Senior Full Stack Angular Developer  Top U.S. Web... - UrgentSenior Full Stack Angular Developer  Top U.S. Web... - Urgent,"At this time, we are looking for a motivated Full Stack Angular Developer who can collaborate with our team to deliver great things on...",Prometeo TalentPrometeo Talent
13,Python DeveloperPython Developer,"You will be responsible for : Create efficient code while meeting business requirements precisely Communicate progress, issues, and risks...",SnaphuntSnaphunt
14,Python DeveloperPython Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,SnaphuntSnaphunt
15,Azure DeveloperAzure Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,SnaphuntSnaphunt
16,Desarrollador programador Full Stack Web Developer. - Immediate StartDesarrollador programador Full Stack Web Developer. - Immediate Start,We are looking for a hardworking Desarrollador programador Full Stack Web Developer. to join our exceptional team at OttComputer in...,OttcomputerOttcomputer
17,Remote Python DeveloperRemote Python Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,TuringTuring
18,Work From Home Salesforce Commerce Cloud Developer Ref. 0385E - Urgent PositionWork From Home Salesforce Commerce Cloud Developer Ref. 0385E - Urgent Position,We are hiring an expert Work From Home Salesforce Commerce Cloud Developer Ref. 0385E to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
19,Work From Home Data Analytics Developer Ref. 1028E - Urgent RoleWork From Home Data Analytics Developer Ref. 1028E - Urgent Role,We are looking to hire a motivated Work From Home Data Analytics Developer Ref. 1028E to join our high calibre team at BairesDev SA in...,Bairesdev SaBairesdev Sa
20,Work From Home Python Backend Developer R D Ref. 0071E RD - Start ImmediatelyWork From Home Python Backend Developer R D Ref. 0071E RD - Start Immediately,We are searching for a focused Work From Home Python Backend Developer R D Ref. 0071E RD to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
21,Work From Home SAP Hana Developer Ref. 0953E - Urgent HireWork From Home SAP Hana Developer Ref. 0953E - Urgent Hire,"We are searching for a driven Work From Home SAP Hana Developer Ref. 0953E to join our vibrant team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
22,Work From Home ETL Developer Ref. 0339E - Urgent HireWork From Home ETL Developer Ref. 0339E - Urgent Hire,"We are hiring a motivated Work From Home ETL Developer Ref. 0339E to join our high calibre team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
23,Work From Home Android Developer Ref. 0046E - Hiring FastWork From Home Android Developer Ref. 0046E - Hiring Fast,"We are hiring a creative Work From Home Android Developer Ref. 0046E to join our growing team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
24,Work From Home Kafka Developer Ref. 0297E - with Great BenefitsWork From Home Kafka Developer Ref. 0297E - with Great Benefits,"We are looking to hire a driven Work From Home Kafka Developer Ref. 0297E to join our vibrant team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
25,Work From Home MS Dynamics Developer Ref. 0246E - Get Hired FastWork From Home MS Dynamics Developer Ref. 0246E - Get Hired Fast,We are searching for a remarkable Work From Home MS Dynamics Developer Ref. 0246E to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
26,Work From Home Java Team Lead Ref. 0003E - with Growth OpportunitiesWork From Home Java Team Lead Ref. 0003E - with Growth Opportunities,"Who we are BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are...",Bairesdev SaBairesdev Sa
27,(Ecuador) Technical Support Consultant (fluent Portuguese and English)(Ecuador) Technical Support Consultant (fluent Portuguese and English),SupportYourApp is a Support-as-a-Service international company that provides BPO services for other IT companies around the globe. We...,SupportYourAppSupportYourApp
28,Work From Home Node Team Lead Ref. 0111E - with Growth OpportunitiesWork From Home Node Team Lead Ref. 0111E - with Growth Opportunities,"Who we are BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are...",Bairesdev SaBairesdev Sa
