num,titulo_empleo,descripcion_empleo,etiquetas_empleo
0,"
Desarrollador programador Full Stack Web Developer. - Immediate Start
","We are looking for a hardworking Desarrollador programador Full Stack Web Developer. to join our exceptional team at OttComputer in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Desarrollador programador Full Stack Web Developer. is an awesome opportunity to develop productive skills.If you are strong in people management, project management and have the right mindset for the job, then apply for the position of Desarrollador programador Full Stack Web Developer. at OttComputer today!We are a multinational software development company, currently searching for an experienced Web Developer, to work in technology projects for the European market. We are searching for a person to work in our branch in Guayaquil, Ecuador. We require: - Minimum 3 years? experience in development of Web applications - Advanced English level - Knowledge of the following technologies: PHP Frameworks Symfony/Laravel MySQL, SQL Server HTML5 / CSS / SASS / JavaScript / Jquery GIT Docker / Docker Compose VueJS (optional) Apollo (optional) GraphQL (optional) We offer: - Competitive salary according to candidate?s experience - Chances of professional growth - Contact with new technologies - Fulltime contract Benefits of working as a Desarrollador programador Full Stack Web Developer. in Guayaquil, Guayaquil (canton):● Company offers great benefits ● Opportunities to grow● Advantageous package",Ottcomputer
1,"
Desarrollador web ASP.NET. - Fast Hire
","We are hiring an organized Desarrollador web ASP.NET. to join our high calibre team at Zasylogic in Extranjero.Growing your career as a Full Time Desarrollador web ASP.NET. is an awesome opportunity to develop exceptional skills.If you are strong in critical thinking, decision-making and have the right drive for the job, then apply for the position of Desarrollador web ASP.NET. at Zasylogic today!Zasylogic, empresa pionera en soluciones para el gran Contact Center e Internet, estamos requiriendo un Desarrollador web con SQL y tecnologías Net, para el Departamento de Servicios. Requisitos: Experiencia demostrable en las tecnologías solicitadas: Scriptnet, JavaScript, SQL, y en general, entornos dinámicos Web de escritura/lectura de datos, AJAX y ASPNet Experiencia en proyectos afines, o utilizando las herramientas mencionadas: websites, desarrollos, aplicativos, incluido proyecto fin de carrera, etc. Experiencia en reporting visual mediante alguna herramienta de datamining, Business Intelligence y Analytics, con graficación de informes de tablas de datos. Se valorará experiencia en el entorno del Contact Center, VoIP, Asterisk y FreePBX Dedicación exclusiva para un puesto operativo con desarrollos y proyectos Ventajas: Trabajo remoto en jornada completa: 40 horas semana Contrato mercantil de colaboración con perspectivas a largo plazo Excelente clima laboral Remuneración a convenir de acuerdo a experiencia Benefits of working as a Desarrollador web ASP.NET. in Extranjero:● Company offers great benefits ● Advancement opportunities● Competitive salary",Zasylogic
2,"
Se solicita Desarrollador Web Junior - Urgent Role
","We are looking for an ambitious Se solicita Desarrollador Web Junior to join our amazing team at Diozen in Quito, Quito (canton).Growing your career as a Full Time Se solicita Desarrollador Web Junior is an incredible opportunity to develop productive skills.If you are strong in persuasion, problem-solving and have the right mindset for the job, then apply for the position of Se solicita Desarrollador Web Junior at Diozen today!¡Oportunidad laboral! Se solicita Desarrollador Web  Requisitos:  Ingeniero en Sistemas ó Cursando últimos niveles de la carrera.  Disponibilidad de Internet  Residencia en Quito  Con conocimientos en:  Visual Studio C# Framework y .Net Core  Administración de Base de Datos (SQL Server) Java Script  Angular  HTML  QUERY DATA USANDO LINQ  JQUERY AJAX AVANZAD  INTEGRACION CON WEBSERVICE DE TODO (REST - JSON - XML) Si estás interesado, puedes postular ingresando al siguiente link:  ¡Oportunidad laboral! Se solicita Desarrollador Web Requisitos: Ingeniero en Sistemas ó Cursando últimos niveles de la carrera. Disponibilidad de Internet Residencia en Quito Con conocimientos en: Visual Studio C# Framework ASP.Net y .Net Core Administración de Base de Datos (SQL Server) Java Script Angular HTML QUERY DATA USANDO LINQ JQUERY AJAX AVANZAD INTEGRACION CON WEBSERVICE DE TODO (REST - JSON - XML) Si estás interesado, puedes postular ingresando al siguiente link: Desarrollador, Programador, ingenieroBenefits of working as a Se solicita Desarrollador Web Junior in Quito, Quito (canton):● Excellent benefits● Company offers career progression opportunities● Competitive salary",Diozen
3,"
Desarrollador programador Desarrollo de aplicaciones móviles. - Hiring Now
","We are looking for an energetic Desarrollador programador Desarrollo de aplicaciones móviles. to join our exceptional team at Prolipa Cía. Ltda. in Quito, Quito (canton).Growing your career as a Full Time Desarrollador programador Desarrollo de aplicaciones móviles. is a fantastic opportunity to develop excellent skills.If you are strong in communication, teamwork and have the right experience for the job, then apply for the position of Desarrollador programador Desarrollo de aplicaciones móviles. at Prolipa Cía. Ltda. today!Desarrollo de aplicaciones moviles, tener conocimientos de: - Flutter movil y/o web - Php - Sql - Js - html5- css - vue, react, angular (opcional)- portafolio actualizado - CV actualizado Benefits of working as a Desarrollador programador Desarrollo de aplicaciones móviles. in Quito, Quito (canton):● Excellent benefits● Opportunities to grow● Competitive salary",Prolipa Cía. Ltda.
4,"
Analista y desarrollador de software. - Hiring Now
","We are on the lookout for a resourceful Analista y desarrollador de software. to join our incredible team at NDM Technology & Consultancy in Quito, Quito (canton).Growing your career as a Full Time Analista y desarrollador de software. is a terrific opportunity to develop excellent skills.If you are strong in planning, persuasion and have the right mindset for the job, then apply for the position of Analista y desarrollador de software. at NDM Technology & Consultancy today!Funciones del Puesto: Desarrollar el software(s) de acuerdo a los requerimientos de los clientes de la empresa Automatización de procesos BPMN en la herramienta provista por la empresa Administración y manejo de Base de datos Realizar las diferentes pruebas de funcionamiento e integración Instalar los diferentes sistemas y componentes de aplicaciones Generar documentación técnica y manuales de usuario Brindar soporte técnico oportuno y eficaz por temas operativos o funcionales Desarrollo de aplicaciones móviles APP Conocimientos: Administración de bases de datos (Postgrest, SQL Server) Conocimiento de tecnologías: Netbeans, Responsive Design, Git (Versionamiento), Programación en: C#, Java, HTML5, CSS3, JavaScript, Prime Faces, Media Querie, Web Services (SOAP y REST) .Net y APP. Diseño y automatización de procesos BPMN (deseable) Conocimiento y manejo de estándar JEE, JSE Conocimiento y manejo en Jasper Reports (Ireport) Conocimiento en flutter dart Experiencia: Experiencia 2 años en áreas de desarrollo de software o aplicaciones web. Educación Mínima: Egresado o Ingeniero en sistemas, computación o afines. Company Benefits:● Learning opportunities● Company offers career progression opportunities● Advantageous package",Ndm Technology & Consultancy
5,"
Analista y desarrollador de software - Urgent Role
","We are searching for a motivated Analista y desarrollador de software to join our diverse team at NDM Technology Consultancy in Quito, Quito (canton).Growing your career as a Full Time Analista y desarrollador de software is an amazing opportunity to develop exceptional skills.If you are strong in teamwork, persuasion and have the right experience for the job, then apply for the position of Analista y desarrollador de software at NDM Technology Consultancy today!Funciones del Puesto
Desarrollar el softwares de acuerdo a los requerimientos de los clientes de la empresa
Automatización de procesos BPMN en la herramienta provista por la empresa
Administración y manejo de Base de datos
Realizar las diferentes pruebas de funcionamiento e integración
Instalar los diferentes sistemas y componentes de aplicaciones
Generar documentación técnica y manuales de usuario
Brindar soporte técnico oportuno y eficaz por temas operativos o funcionales
Desarrollo de aplicaciones móviles APP
Conocimientos
Administración de bases de datos Postgrest, SQL Server
Conocimiento de tecnologías Netbeans, Responsive Design, Git Versionamiento,
Programación en C, Java, HTML5, CSS3, JavaScript, Prime Faces, Media Querie, Web Services SOAP y REST .Net y APP.
Diseño y automatización de procesos BPMN deseable
Conocimiento y manejo de estándar JEE, JSE
Conocimiento y manejo en Jasper Reports Ireport
Conocimiento en flutter dart
Experiencia
Experiencia 2 años en áreas de desarrollo de software o aplicaciones web.
Educación Mínima
Egresado o Ingeniero en sistemas, computación o afines.
Bolsa de trabajo Ecuador ofrecemos puesto de Analista y desarrollador de software para el sector de Informática Telecomunicaciones en la empresa NDM Technology Consultancy de Quito. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Tiempo Completo.
Company Benefits:● Company offers great benefits ● Company offers career progression opportunities● Competitive salary",Ndm Technology & Consultancy
6,"
Desarrollador Semi Senior. - Urgent Role
","We are searching for a creative Desarrollador Semi Senior. to join our vibrant team at i-Route Solutions in Guayaquil, Guayaquil (canton).Growing your career as a Full Time Desarrollador Semi Senior. is an incredible opportunity to develop useful skills.If you are strong in leadership, persuasion and have the right mindset for the job, then apply for the position of Desarrollador Semi Senior. at i-Route Solutions today!dos recursos Semi-senior , con el siguiente perfil: - Capacidad de Análisis para resolución de incidentes. - Conocimientos en las siguientes herramientas: oBase de datos SQL Server (NO ENTITY FRAMEWORK) oUso JAVASCRIPT oUso JQuery - Ajax - Fetch oUso HTML puro (NO plantillas) oAplicación Web: ASP. Net - C# - MVC oMVC - Mínimo 2 años de experiencia en estas herramientas. tambien buscamos.: Desarrollador Full Stack en C# o Java con Manejo de Web Services, API + Backend Transact SQL, SQLSERVER. + Conocimientos de ETL, AWS Glue, AWS Athena, AWS QuickSight + Manejo de Metodologias Agiles Con mas de 3 años de experiencia. ademas buscamos : - React - Flutter - SQL Server Benefits of working as a Desarrollador Semi Senior. in Guayaquil, Guayaquil (canton):● Company offers great benefits ● Advancement opportunities● Competitive salary",I-Route Solutions
7,"
Desarrollador Frontend - React. - Hiring Immediately
","We are searching for an enthusiastic Desarrollador Frontend - React. to join our passionate team at EVERIS PERU S.A.C. in Cuenca, Cuenca (canton).Growing your career as a Full Time Desarrollador Frontend - React. is an amazing opportunity to develop competitive skills.If you are strong in planning, communication and have the right initiative for the job, then apply for the position of Desarrollador Frontend - React. at EVERIS PERU S.A.C. today!¡Estamos creciendo! NTTDATA es la sexta compañía de IT del mundo, nos dedicamos a la consultoría de tecnología y ofrecemos soluciones de negocio, estrategia, desarrollo y mantenimiento de aplicaciones tecnológicas, y outsourcing. Desarrollamos nuestra actividad en los sectores de telecomunicaciones, entidades financieras, industria, utilities, energía, banca, seguros, administración pública, media y sanidad. Somos más de 130.000 profesionales al rededor del mundo y tenemos presencia en Asia-Pacífico, Oriente Medio, Europa, Latinoamérica y Norteamérica. Trabajamos para las principales empresas mundiales en todos los sectores productivos, ofreciendo a las personas múltiples posibilidades de aprovechar el talento y las capacidades de cada uno. ¡Desarrolla tu carrera profesional en NTTDATA y sé el héroe de tu propia historia! Te invitamos a formar parte de nuestro equipo, ocupando el cargo de: Developer Frontend - Angular Requisitos: - Técnico, egresado, bachiller o titulado de las carreras de Computación, Ing. de Sistemas, Ing. Informática, Ing. de Software y/o afines. - Experiencia de 2 años a más en desarrollo FrontEnd. - Manejo de HTML/ JavaScript/ CSS y ES6+- Experiencia en manejo de bibliotecas y APIs de terceros. - Comprensión de consumo de servicios web RESTful. - Comprensión del manejador de estados redux y arquitectura flux. Beneficios: - Inmejorable oportunidad de línea de carrera profesional en nuestra consultora líder en el mercado TI. - Contrato indeterminado desde el primer día. - Capacitaciones - Seguro de Vida - Asistencia Médica para el colaborador - Permanente capacitación y formación profesional. Si estás buscando empleo, este el sitio ideal. Combinamos talento, ilusión y personas. ¡Ven y únete a NTTDATA, el mejor lugar para los mejores!Benefits of working as a Desarrollador Frontend - React. in Cuenca, Cuenca (canton):● Excellent benefits● Company offers career progression opportunities● Advantageous package",Everis Peru S.A.C.
8,"
Desarrollador de automatización (Sector Logístico) - Get Hired Fast
","We are hiring a resourceful Desarrollador de automatización (Sector Logístico) to join our dynamic team at Selecta in Quito, Quito (canton).Growing your career as a Full Time Desarrollador de automatización (Sector Logístico) is a terrific opportunity to develop productive skills.If you are strong in project management, creativity and have the right experience for the job, then apply for the position of Desarrollador de automatización (Sector Logístico) at Selecta today!!Buscamos un crack en automatización! Somos una innovadora empresa ecuatoriana con más de 15 años de experiencia como especialistas en courier, contamos con un portafolio extenso de soluciones logísticas integrales a nivel nacional e internacional.  Buscamos un developer que le apasione identificar procesos que se pueden automatizar, hacerlos proyectos e implementarlos.  Retos:  Guiar el diseño de los procesos • Diseñar, desarrollar y probar los flujos de trabajo de automatización • Apoyar la implementación de soluciones RPA. • Asegurar la calidad de la automatización (proceso QA) Requisitos:  Título de tercer nivel en carreras de sistemas o similares  Experiencia de al menos 2 años en automatización  Experiencia con RPA: bots, robots, herramientas de desarrollo, entre otros.  Herramientas de sistematización como: Blue Prism y UiPath • Excelente formación en desarrollo de software, por ejemplo: C#,  C++, Java, .NET • Conocimientos básicos de programación en HTML, JavaScript (o  cualquier lenguaje en scripting) Metodologías ágiles  Beneficios:  Seguro médico  Seguro de vida  Parqueadero  Bonificaciones  Benefits of working as a Desarrollador de automatización (Sector Logístico) in Quito, Quito (canton):● Learning opportunities● Company offers career progression opportunities● Competitive salary",Selecta
9,"
Analista Qa O Desarrollador. - Urgent Position
","We are looking for a capable Analista Qa O Desarrollador. to join our vibrant team at Siatigroup in Quito, Quito (canton).Growing your career as a Full Time Analista Qa O Desarrollador. is an awesome opportunity to develop exceptional skills.If you are strong in leadership, communication and have the right drive for the job, then apply for the position of Analista Qa O Desarrollador. at Siatigroup today!Somos un grupo de empresas que brinda soluciones integrales en comercio exterior. Estámos presentes en Quito, Guayaquil, Cuenca y en Miami con nuestro Freight Fordwarder. Únete a nuestro equipo como ANALISTA QA: Tus Desafíos: - Levantar requerimientos, monitorear el proceso de desarrollo de software y generar documento de acuerdo a estándares requeridos - Administrar códigos fuentes de proyectos y versionamientos - Validar procesos y calidad de desarrollo de software. - Realizar batería de pruebas del desarrollo de software. Para cumplir con tus desafíos buscamos profesionales que sean: - Profesional titulado en Ingeniería de sistemas, tecnología informática - Experiencia mínima dos años como Analista QA - Conocimiento Tributario, leyes societarias Conocimientos informáticos: Versonamiento de código (GIT)Lenguajes de programación: JAVA, PHP, JAVASCRIPT,PYTHONLenguaje de programación: (deseable) Desarrollo de Apps ""Iphone, Android"", WILDFLY, NGNIXFrameworks: LARAVEL, SPRING, ANGULAR Frameworks: (deseable) ODOOMetodologías ágilesBase de datos: POSTGRESQL, MYSQL Únete a nuestro equipo como DESARROLLADOR: Tus Desafíos: - Dar mantenimiento a la base de datos de los sistemas actuales que maneja la Cia. - Controlar los objetivos de calidad y productividad y liberar las observaciones de calidad. - Dar soporte a usuarios finales - Administrar códigos fuentes de proyectos y versionamientos - Dar soporte a los sistemas actuales que maneja la Compañía. Para cumplir con tus desafíos buscamos profesionales que sean: - Profesional titulado en Ingeniería de sistemas, tecnología informática - Experiencia mínima dos años como Desarrollador - Conocimiento Tributario, leyes societarias Conocimientos informáticos: Versonamiento de código (GIT)Lenguajes de programación: JAVA, PHP, JAVASCRIPT,PYTHONLenguaje de programación: (deseable) Desarrollo de Apps ""Iphone, Android"", WILDFLY, NGNIXFrameworks: LARAVEL, SPRING, ANGULAR Frameworks: (deseable) ODOOMetodologías ágilesBase de datos: POSTGRESQL, MYSQLOfrecemos beneficios de ley y propios de la empresa Alcancemos lo extraordinario!Benefits of working as a Analista Qa O Desarrollador. in Quito, Quito (canton):● Company offers great benefits ● Company offers career progression opportunities● Attractive package",Siatigroup
